S,E,I,Q_E,Q_I,R,F
126577465354.26474,61984.01608371941,64900.00853734627,2162.892872523374,24161.170917528823,84088.90075123112,8591.997295423955
139521280198.9595,62352.76325589011,65321.12284154967,2128.9544935633985,23929.637715952496,84905.8469482505,8669.830244846587
153830866186.76068,62724.57223354758,65744.33208310846,2095.7463164208784,23700.227715306828,85723.98962129398,8747.830664692268
169658090781.39783,63099.43321113151,66169.67043183594,2063.254171255159,23472.930373188545,86543.36984548044,8826.002234923075
187167132809.87534,63477.33709155145,66597.17171366393,2031.4641484954973,23247.735042738805,87364.02881511745,8904.348649225854
206534482462.4739,63858.2754861869,67026.86941064273,2000.3625988410631,23024.6309726432,88186.00784370123,8982.873615012222
227948941292.74966,64242.2407148872,67458.79666094108,1969.9361332609387,22803.607307131762,89009.34836391672,9061.580853418569
251611622217.53433,64629.22580597161,67892.98625884624,1940.171622994119,22584.65308597896,89834.09192763749,9140.47409930605
277735949516.9358,65019.22449622929,68329.47065476397,1911.0561995495107,22367.757244503682,90660.28020592582,9219.557101260594
306547658834.33594,65412.23123091925,68768.28195521844,1882.5772547059357,22152.908613569285,91487.9549890326,9298.833621592896
338284797176.3939,65808.24116377045,69209.45192285237,1854.722440512126,21940.095919583528,92317.15818639744,9378.307436338422
373211141161.0245,66207.25030426195,69653.01187451588,1827.479661892672,21729.307784836514,93147.93186508233,9457.98233854273
411889191492.0481,66609.26018365733,70098.9894040482,1800.8370076805795,21520.532575215937,93980.31942874167,9537.862239010661
454628144269.797,67014.27390296856,70547.41105487307,1774.7831651406252,21313.758176149724,94814.36453864767,9617.951074046601
501662959589.72516,67422.29379210657,70998.30406396413,1749.3071208994677,21108.97239560906,95650.11060400406,9698.25276197232
553324109848.1012,67833.32255923156,71451.69558721028,1724.3980334718656,20906.163035324138,96487.60109853964,9778.771230202907
610037579742.0134,68247.36329075298,71907.61269941578,1700.0452332606767,20705.317890784132,97326.87956050843,9859.510415246765
672324866269.3667,68664.41945132958,72366.08239430022,1676.238222556859,20506.424751237217,98167.98959268956,9940.474262705618
740802978728.883,69084.49488386935,72827.13158449843,1652.9666755394705,20309.471399690563,99010.97486238729,10021.666727274507
816184438720.1033,69507.59380952957,73290.78710156068,1630.2204382756688,20114.44561291033,99855.8791014311,10103.091772741787
899277280143.3811,69933.72082771678,73757.07569595243,1607.989528720712,19921.335161421688,100702.7461061755,10184.75337198913
990985049199.892,70362.88091608677,74226.02403705454,1586.2641367179579,19730.127809508784,101551.61973750027,10266.655506991528
1092306804391.627,70795.07943054463,74697.65871316317,1565.0346239988633,19540.811315214767,102402.54392081026,10348.802168817288
1204337116521.394,71230.32210524472,75172.00623148978,1544.2915241829862,19353.373430341788,103255.56264603548,10431.197357628032
1328266068692.8196,71668.61505259064,75649.09301816118,1524.0255427779837,19167.80190045098,104110.7199676311,10513.845082678703
1465379256310.3481,72109.9647632353,76128.94541821947,1504.2275571796129,18984.08446486248,104968.06000457745,10596.749362317558
1617057787079.2358,72554.37810608083,76611.58969562208,1484.8886166717311,18802.208856655423,105827.62694037994,10679.914223986172
1784778281005.5623,73001.86232827864,77097.05203324175,1465.9999424262958,18622.162802667932,106689.4650230692,10763.343704219435
1970112870396.2214,73452.42505522947,77585.35853286655,1447.5529275033637,18443.934023497124,107553.61856520099,10847.041848645556
2174729199858.926,73906.07429058324,78076.53521519987,1429.539136851091,18267.51023349912,108420.13194385618,10931.012711986064
2400390426302.21,74362.81841623923,78570.6080198604,1411.950307305735,18092.879140789024,109289.04960064085,11015.2603580558
2648955218935.411,74822.66619234589,79067.60280538216,1394.7783475916524,17920.028447240948,110160.41604168616,11099.788859762923
2922463458907.9224,75285.62681594885,79567.54531112978,1378.0153348862943,17748.945846382343,111034.2758573646,11184.60230081087
3225356226367.0845,75751.71219865157,80070.45962764356,1361.6534824033574,17579.618865616445,111910.67442712103,11269.704836429624
3560135939106.71,76220.93504754794,80576.3693720596,1345.685396387803,17412.034824881892,112789.65718971593,11355.100630231875
3928586164507.933,76693.30766409583,81085.29860297487,1330.103881637603,17246.181077188525,113671.26940248245,11440.793833740212
4333247252288.7246,77168.84259197538,81597.27142379654,1314.9018559690414,17082.0450209886,114555.55638814133,11526.788607747238
4777416334503.93,77647.55261708902,82112.31198274209,1300.0723502167104,16919.61410017679,115442.56353480104,11613.08912231557
5265147325545.242,78129.45076756149,82630.44447283917,1285.6085082335132,16758.875804090174,116332.33629595763,11699.699556777834
5801250922141.215,78614.55031373979,83151.69313192568,1271.5035868906627,16599.81766750825,117224.92019049484,11786.62409973667
6391294603357.262,79102.8647681932,83676.08224264983,1257.750956077682,16442.42727065293,118120.36080268405,11873.866949064724
7041602630595.624,79594.40788571328,84203.63613246994,1244.3440987024046,16286.69223918855,119018.70378218425,11961.432311904658
7759256047595.431,80089.19366331393,84734.37917365464,1231.276610690974,16132.600244221843,119919.9948440421,12049.324404669145
8552092680432.652,80587.23634023123,85268.33578328282,1218.542200987843,15980.139002301969,120824.27976869194,12137.547453040866
9428707137520.117,81088.55039792364,85805.53042324353,1206.1346915557756,15829.296275420493,121731.6044019557,12226.10569197252
10398450809607.51,81593.15056007187,86345.98760023611,1194.0480173758456,15680.059871011403,122642.01465504299,12315.003365686807
11471431869781.39,82101.05179257889,86889.73186577013,1182.276226447436,15532.417641951095,123555.55650455109,12404.244727676452
12658515273465.111,82612.26930356999,87436.78781616538,1170.8134797882417,15386.357486558385,124472.27599246484,12493.83404070418
13971322758418.947,83126.81854339273,87987.18009255189,1159.6540514342657,15241.8673485945,125392.21922615683,12583.775576802727
15422232844740.004,83644.71520461694,88540.93338086993,1148.7923284398225,15098.935217263079,126315.43237838722,12674.073617274853
17024380834862.234,84165.97522203474,89098.07241187,1138.2228108775362,14957.54912721018,127241.96168730388,12764.732452693315
18791658813556.5,84690.61477266059,89658.62196111288,1127.9401118383407,14817.697158524272,128171.85345644229,12855.756382900892
20738715647930.406,85218.65027573112,90222.60684896949,1117.9389574314805,14679.36743673624,129105.15405472554,12947.149717010365
22880958394032.26,85750.09839276067,90790.05194059125,1108.2141867799444,14542.548132814218,130041.90991649179,13038.916773406934
25250006259585.742,86284.9768808911,91360.98164611783,1098.7607292935377,14407.227359745319,130982.16791099835,13131.061912114305
27871737212988.08,86823.3043610595,91935.41994196955,1089.5737490074694,14273.39313116548,131925.9750932247,13223.589512670234
30758992088095.96,87365.09915339178,92513.3911405011,1080.6485744077702,14141.033551299819,132873.3783132713,13316.503940154866
33930686010483.773,87910.37977122272,93094.91966575586,1071.9806081778904,14010.136793178668,133824.42451483684,13409.809571508957
37411808397443.18,88459.16492109596,93680.03005346586,1063.5653271987012,13880.69109863759,134779.16073521803,13503.51079553387
41233422957983.28,89011.47350276395,94268.74695105177,1055.398282548494,13752.684778317376,135737.63410530964,13597.612012891572
45432667692831.11,89567.32460918812,94861.09511762304,1047.4750995029792,13626.10621166403,136699.89184960467,13692.117636104651
50052754894430.59,90126.73752653862,95457.0994239777,1039.7914775352885,13500.943846928792,137665.98128619412,13787.032089556293
55142971146943.875,90689.73173419459,96056.78485260255,1032.343190315973,13377.186201168111,138635.9498267672,13882.3598094903
60758677326250.016,91256.32690474392,96660.17649767298,1025.1260857130046,13254.82186024368,139609.8449766111,13978.105244011083
66961308599945.59,91826.54290398344,97267.29956505308,1018.1360857917748,13133.839478822403,140587.7143346111,14074.272853083654
73818374427345.31,92400.39979091883,97878.17937229571,1011.3691868150952,13014.227780376405,141569.60559325083,14170.867108533645
81403458559480.45,92977.91781776457,98492.84134864227,1004.821459243198,12895.975557183052,142555.5665386117,14267.892494047286
89796219039100.88,93559.11742994409,99111.31103502295,998.4890477337349,12779.07167032491,143545.64505037348,14365.353505171432
99082388200672.75,94144.0192660896,99733.61408405655,992.3681711417785,12663.505049689798,144539.88910181384,14463.254649313527
109353772670380.98,94732.64415804225,100359.77626005061,986.4551225198209,12549.264693970732,145538.34675980872,14561.600445741644
120708253366127.14,95325.01313085199,100989.82343900128,980.7462691177743,12436.339670665968,146541.0661848321,14660.395425584451
133249785497530.0,95921.14740277766,101623.78160859342,975.238052382972,12324.719116078986,147548.095630956,14759.644131831226
147088398565927.34,96521.06838528694,102261.6768682006,969.926987960166,12214.39223531848,148559.4834458507,14859.351119331868
162340196364372.4,97124.79768305639,102903.53542888499,964.8096656915295,12105.348302298384,149575.2780707844,14959.520954796868
179127356977638.12,97732.35709397143,103549.38361339756,959.8827496166555,11997.576659737835,150595.52804062355,15060.158216797345
197642690838049.2,98343.76881459201,104199.24777656002,955.1429688035348,11891.066677461757,151620.28212208644,15161.267508154051
218163246084210.25,98959.05581123357,104853.15406995697,950.5871702881707,11785.807658837857,152649.58944789215,15262.853467797882
240788975941013.38,99578.24090667395,105511.12881749816,946.2123456978766,11681.789028811758,153683.4989289476,15364.920718146623
265656754205194.22,100201.3470793473,106173.19850542523,942.0155388854578,11579.000293293933,154722.0595890429,15467.47389529149
292952599690835.6,100828.39749176282,106839.38977421497,937.9938424736627,11477.431033954685,155765.32058764753,15570.517651045207
322911676229360.25,101459.41549050467,107509.72941857917,934.144397855184,11377.070908224172,156813.33121991003,15674.056652941972
355818292669539.0,102094.4246062321,108184.24438746477,930.4643951926579,11277.909649292387,157866.1409166584,15778.095584237488
392005902877482.94,102733.4485536793,108862.96178405368,926.9510734186649,11179.937066109173,158923.79924439965,15882.63914390893
431857105736646.6,103376.51123165547,109545.9088657629,923.6017202357291,11083.143043384218,159986.3559053201,15987.692046654965
475803645147832.6,104023.63672304491,110233.11304424457,920.4136721163183,10987.51754158704,161053.86073728543,16093.259022895763
524326410029181.25,104674.84929480683,110924.6018853858,917.3843143028445,10893.050596947018,162126.36371384037,16199.344818772963
577955434316183.4,105330.17339797552,111620.40310930881,914.5110808076632,10799.732321453363,163203.91494420904,16305.954196149709
637269896961668.1,105989.63366766025,112320.54459037092,911.7914544130741,10707.552902855134,164286.56467329472,16413.09193261062
702898121935807.8,106653.25492304527,113025.0543571644,909.2229666713208,10616.502604661238,165374.36328167986,16520.76282146181
775517578226125.5,107321.06216738994,113733.96059251671,906.8031979045903,10526.571766140412,166467.3612856263,16628.971671730884
855854879837478.5,107993.08058802855,114447.29163349031,904.5297772050138,10437.750802321254,167565.60933707503,16737.72330816693
944685785792078.0,108669.33555637042,115165.07597138279,902.4003824346664,10350.030203992192,168669.15822364626,16847.02257124053
1042835200129471.6,109349.8526278999,115887.34225172669,900.4127402255668,10263.4005377015,169778.0588686395,16956.874317143753
1151177171906547.8,110034.65754217631,116614.1192742897,898.5646259796779,10177.852445757308,170892.36233103334,17067.283417790153
1270634895197552.5,110723.77622283406,117345.43599307457,896.853863868906,10093.376646227567,172012.11980548588,17178.254760814776
1402180709094057.5,111417.23477758247,118081.3215163191,895.2783268351018,10009.963932940096,173137.38262233417,17289.793249574155
1546966873078253.0,112115.05952542678,118821.80510618584,893.835934692474,9927.605167437781,174268.20227650471,17401.903805798807
1707439917954130.8,112817.2773238502,119566.91612093251,892.5246604726931,9846.291179075088,175404.63071070728,17514.5913955442
1884691937982782.2,113523.9150912691,120316.68397762466,891.3425878383971,9766.01290318078,176546.71975686346,17627.860977926917
2079683126065415.0,114234.99985449678,121071.13826829118,890.2878460978607,9686.761373473288,177694.52132452643,17741.717522492545
2293773254082587.0,114950.55883461804,121830.30877294311,889.3585967605675,9608.527697478079,178848.08750867238,17856.166019114644
2528721672894265.5,115670.61944698927,122594.22545957388,888.5530335372105,9531.303056527624,180007.47058970068,17971.211477994766
2786687312339773.0,116395.20930123837,123362.91848415913,887.8693823396919,9455.078705761433,181172.72303343378,18086.858929662438
3070228681237808.0,117124.35620126477,124136.4181906568,887.3059012811229,9379.845974126025,182343.89749111727,18203.113424975145
3382303867386479.0,117858.08814523957,124914.75511100712,886.860880675824,9305.596264374946,183521.04679941994,18319.980035118384
3726270537563228.5,118596.43332560526,125697.95996513257,886.5326430393246,9232.321053068767,184704.2239804336,18437.463851605597
4105885937524926.5,119339.42012907607,126486.06366093797,886.3195430883635,9160.01189057507,185893.4822416733,18555.569986278228
4525306892007786.0,120087.07713663763,127279.09729431038,886.2199677408887,9088.66040106847,187088.87497607712,18674.303571305685
4989089804727390.0,120839.43312354715,128077.0921491191,886.232336116057,9018.2582825306,188290.45576200628,18793.669759185355
5502190658378755.0,121596.51705933349,128880.07969721578,886.3550995342349,8948.79730675011,189498.27836324522,18913.673722742613
6069965014636200.0,122358.35810779694,129688.09159843432,886.5867415169976,8880.26931932268,190712.39672900137,19034.320655130803
6698168014153508.0,123124.98562700945,130501.1597005909,886.9257777871295,8812.666239651004,191932.86499390547,19155.61576983125
7392954376563776.0,123896.42916931443,131319.316039484,887.3707562686244,8745.980060944801,193159.7374780112,19277.56430065326
8160878400479468.0,124672.71848132687,132142.59283889428,887.9202570866852,8680.202850220818,194393.06868679545,19400.171501734098
9008893963492518.0,125453.8835039334,132971.02251058485,888.5728925677237,8615.32674830281,195632.91331115828,19523.442647539043
9944354522174114.0,126239.95437229205,133804.63765430095,889.3273072393612,8551.343969821566,196879.3262274228,19647.38303286131
1.0975013112074956e+16,127030.96141583256,134643.47105777025,890.1821778304279,8488.24680321489,198132.36249733533,19771.997972822133
1.210902234772498e+16,127826.93515825606,135487.55569670247,891.1362132709633,8426.027610727613,199392.07736806522,19897.292802870692
1.3362342831341948e+16,128627.90646874148,136336.92478434107,892.1881511380302,8364.678775674613,200658.5264720563,20023.27289750259
1.4750089086916754e+16,129433.906484704,137191.6116745053,893.3367932954638,8304.192726596722,201931.76564285025,20149.943653074766
1.6278771052579166e+16,130244.96638558207,138051.64983503663,894.5809899527991,8244.562017977747,203211.85066952684,20277.310464780512
1.7958125666017032e+16,131061.11756527606,138917.07295356144,895.9196128237154,8185.779272004556,204498.83758063265,20405.378753204808
1.980114861955441e+16,131882.3916326967,139787.91493774203,897.3515550799924,8127.837178378516,205792.78264498687,20534.15396439975
2.1824094360152044e+16,132708.82041176534,140664.2099152766,898.8757313515098,8070.728494315469,207093.74237168182,20663.641569884578
2.404647608940692e+16,133540.43594141369,141545.99223389925,900.4910777262472,8014.446044545752,208401.77351008248,20793.84706664566
2.649106576355245e+16,134377.270475584,142433.29646137997,902.1965517502845,7958.982721314186,209716.9330498267,20924.775977136494
2.9183894093458704e+16,135219.35648322897,143326.15738552477,903.9911324278016,7904.331484380076,211039.27822082542,21056.43384927772
3.215425054463187e+16,136066.72664831183,144224.6100141754,905.8738202210784,7850.485361017218,212368.86649326215,21188.826256457098
3.5434683337214964e+16,136919.4138698063,145128.68957520975,907.8436370504952,7797.437446013888,213705.7555775935,21321.958797529536
3.90609994459871e+16,137777.45126169646,146038.43151654137,909.8996262945321,7745.180901672854,215050.00342454884,21455.83709681706
4.307226460036382e+16,138640.872152977,146953.87150611987,912.0408527897691,7693.70895781137,216401.6682251303,21590.46680410883
4.75108032843975e+16,139509.71008765307,147875.0454319308,914.2664028308868,7643.014911761173,217760.80841061316,21725.853594661156
5.24221987367764e+16,140383.9988247402,148801.98940199552,916.5753841706655,7593.09212836849,219127.4826525453,21862.003169197447
5.78552929508258e+16,141263.7723382646,149734.73974437136,918.9669260199857,7543.934039994031,220501.7498627476,21998.921253908287
6.3862186674507e+16,142149.06481726273,150673.33300715155,921.4401790478281,7495.534146512995,221883.66919331378,22136.613600451357
7.049823941041758e+16,143039.91066578167,151617.80595846518,923.9943153812732,7447.886015315068,223273.30003661034,22275.085985951482
7.782206941579232e+16,143936.344502879,152568.1955864774,926.6285286055017,7400.983281304419,224670.7020252768,22414.344213000633
8.589555370250142e+16,144838.4011626226,153524.5390993891,929.3420337637946,7354.819646899708,226075.93503222542,22554.394109657893
