,date,state,positive,death
195,2020-08-04,ET,19877,343
196,2020-08-05,ET,20336,356
197,2020-08-06,ET,20900,365
198,2020-08-07,ET,21452,380
199,2020-08-08,ET,22253,390
200,2020-08-09,ET,22818,407
201,2020-08-10,ET,23591,420
202,2020-08-11,ET,24175,440
203,2020-08-12,ET,25118,463
204,2020-08-13,ET,26204,479
205,2020-08-14,ET,27242,492
206,2020-08-15,ET,28894,509
207,2020-08-16,ET,29876,528
208,2020-08-17,ET,31336,544
209,2020-08-18,ET,32722,572
210,2020-08-19,ET,34058,600
211,2020-08-20,ET,35836,620
212,2020-08-21,ET,37665,637
213,2020-08-22,ET,39033,662
214,2020-08-23,ET,40671,678
215,2020-08-24,ET,42143,692
216,2020-08-25,ET,43688,709
217,2020-08-26,ET,45221,725
218,2020-08-27,ET,46407,745
219,2020-08-28,ET,48140,758
220,2020-08-29,ET,49654,770
221,2020-08-30,ET,51122,793
222,2020-08-31,ET,52131,809
223,2020-09-01,ET,53304,828
224,2020-09-02,ET,54409,846
225,2020-09-03,ET,55213,856
226,2020-09-04,ET,56516,880
227,2020-09-05,ET,57466,897
228,2020-09-06,ET,58672,918
229,2020-09-07,ET,59648,933
230,2020-09-08,ET,60784,949
231,2020-09-09,ET,61700,966
232,2020-09-10,ET,62578,974
233,2020-09-11,ET,63367,986
234,2020-09-12,ET,63888,996
235,2020-09-13,ET,64301,1013
236,2020-09-14,ET,64786,1022
237,2020-09-15,ET,65486,1035
238,2020-09-16,ET,66224,1045
239,2020-09-17,ET,66913,1060
240,2020-09-18,ET,67515,1072
241,2020-09-19,ET,68131,1089
242,2020-09-20,ET,68820,1096
243,2020-09-21,ET,69709,1108
244,2020-09-22,ET,70422,1127
245,2020-09-23,ET,71083,1141
246,2020-09-24,ET,71687,1148
247,2020-09-25,ET,72173,1155
248,2020-09-26,ET,72700,1165
249,2020-09-27,ET,73332,1170
250,2020-09-28,ET,73944,1177
251,2020-09-29,ET,74584,1191
252,2020-09-30,ET,75368,1198
253,2020-10-01,ET,76098,1205
254,2020-10-02,ET,76988,1208
255,2020-10-03,ET,77860,1214
256,2020-10-04,ET,78819,1222
257,2020-10-05,ET,79437,1230
258,2020-10-06,ET,80003,1238
259,2020-10-07,ET,80895,1255
260,2020-10-08,ET,81797,1262
261,2020-10-09,ET,82662,1271
262,2020-10-10,ET,83429,1277
263,2020-10-11,ET,84295,1287
264,2020-10-12,ET,85136,1301
265,2020-10-13,ET,85718,1305
266,2020-10-14,ET,86430,1312
267,2020-10-15,ET,87169,1325
268,2020-10-16,ET,87834,1337
269,2020-10-17,ET,88434,1346
270,2020-10-18,ET,89137,1352
271,2020-10-19,ET,89860,1365
272,2020-10-20,ET,90490,1371
273,2020-10-21,ET,91118,1384
274,2020-10-22,ET,91693,1396
275,2020-10-23,ET,92229,1400
276,2020-10-24,ET,92858,1419
277,2020-10-25,ET,93343,1426
278,2020-10-26,ET,93707,1437
279,2020-10-27,ET,94218,1445
280,2020-10-28,ET,94820,1451
281,2020-10-29,ET,95301,1457
282,2020-10-30,ET,95789,1464
283,2020-10-31,ET,96169,1469
284,2020-11-01,ET,96583,1478
285,2020-11-02,ET,96942,1489
286,2020-11-03,ET,97502,1494
287,2020-11-04,ET,97881,1503
288,2020-11-05,ET,98391,1508
289,2020-11-06,ET,98746,1512
290,2020-11-07,ET,99201,1518
291,2020-11-08,ET,99675,1523
292,2020-11-09,ET,99982,1530
293,2020-11-10,ET,100327,1537
294,2020-11-11,ET,100727,1545
295,2020-11-12,ET,101248,1554
296,2020-11-13,ET,101757,1558
297,2020-11-14,ET,102321,1565
298,2020-11-15,ET,102720,1569
299,2020-11-16,ET,103056,1581
300,2020-11-17,ET,103395,1588
301,2020-11-18,ET,103928,1601
302,2020-11-19,ET,104427,1607
303,2020-11-20,ET,104879,1620
304,2020-11-21,ET,105352,1636
305,2020-11-22,ET,105785,1647
306,2020-11-23,ET,106203,1651
307,2020-11-24,ET,106591,1661
308,2020-11-25,ET,107109,1664
309,2020-11-26,ET,107669,1672
310,2020-11-27,ET,108438,1686
311,2020-11-28,ET,108930,1695
312,2020-11-29,ET,109534,1700
313,2020-11-30,ET,110074,1706
314,2020-12-01,ET,110554,1709
315,2020-12-02,ET,110984,1715
316,2020-12-03,ET,111579,1724
317,2020-12-04,ET,112091,1734
318,2020-12-05,ET,112740,1745
319,2020-12-06,ET,113295,1747
320,2020-12-07,ET,113735,1755
