,date,state,positive,death
236,2020-09-14,OR,29337.0,509
237,2020-09-15,OR,29662.0,519
238,2020-09-16,OR,29850.0,521
239,2020-09-17,OR,30060.0,521
240,2020-09-18,OR,30342.0,521
241,2020-09-19,OR,30599.0,525
242,2020-09-20,OR,30801.0,526
243,2020-09-21,OR,30995.0,529
244,2020-09-22,OR,31313.0,532
245,2020-09-23,OR,31503.0,538
246,2020-09-24,OR,31865.0,539
247,2020-09-25,OR,32314.0,542
248,2020-09-26,OR,32581.0,542
249,2020-09-27,OR,32820.0,543
250,2020-09-28,OR,32994.0,547
251,2020-09-29,OR,33291.0,555
252,2020-09-30,OR,33509.0,559
253,2020-10-01,OR,33862.0,560
254,2020-10-02,OR,34163.0,563
255,2020-10-03,OR,34511.0,571
256,2020-10-04,OR,34770.0,572
257,2020-10-05,OR,35049.0,572
258,2020-10-06,OR,35339.0,581
259,2020-10-07,OR,35634.0,583
260,2020-10-08,OR,36116.0,594
261,2020-10-09,OR,36526.0,597
262,2020-10-10,OR,36924.0,599
263,2020-10-11,OR,37255.0,599
264,2020-10-12,OR,37467.0,599
265,2020-10-13,OR,37780.0,605
266,2020-10-14,OR,38160.0,608
267,2020-10-15,OR,38525.0,611
268,2020-10-16,OR,38935.0,617
269,2020-10-17,OR,39315.0,619
270,2020-10-18,OR,39532.0,620
271,2020-10-19,OR,39794.0,627
272,2020-10-20,OR,40136.0,633
273,2020-10-21,OR,40443.0,635
274,2020-10-22,OR,40443.0,635
275,2020-10-23,OR,41348.0,649
276,2020-10-24,OR,41739.0,653
277,2020-10-25,OR,42101.0,653
278,2020-10-26,OR,42436.0,655
279,2020-10-27,OR,42808.0,664
280,2020-10-28,OR,43228.0,671
281,2020-10-29,OR,43793.0,673
282,2020-10-30,OR,44388.0,675
283,2020-10-31,OR,44921.0,689
284,2020-11-01,OR,45429.0,691
285,2020-11-02,OR,45978.0,692
286,2020-11-03,OR,46460.0,701
287,2020-11-04,OR,47049.0,705
288,2020-11-05,OR,47839.0,710
289,2020-11-06,OR,48608.0,716
290,2020-11-07,OR,49587.0,729
291,2020-11-08,OR,50448.0,730
